Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 16 [1280/5000 (25%)]	Loss: 0.621332
Task: 0 Train Epoch: 16 [2560/5000 (50%)]	Loss: 0.919787
Task: 0 Train Epoch: 16 [3840/5000 (75%)]	Loss: 0.690190
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 715/1000(72%)

Task: 0 Train Epoch: 17 [0/5000 (0%)]	Loss: 0.773769
Task: 0 Train Epoch: 17 [1280/5000 (25%)]	Loss: 0.791952
Task: 0 Train Epoch: 17 [2560/5000 (50%)]	Loss: 0.804899
Task: 0 Train Epoch: 17 [3840/5000 (75%)]	Loss: 0.822051
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 710/1000(71%)

Task: 0 Train Epoch: 18 [0/5000 (0%)]	Loss: 0.769238
Task: 0 Train Epoch: 18 [1280/5000 (25%)]	Loss: 0.733397
Task: 0 Train Epoch: 18 [2560/5000 (50%)]	Loss: 0.695469
Task: 0 Train Epoch: 18 [3840/5000 (75%)]	Loss: 0.614239
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 709/1000(71%)

Task: 0 Train Epoch: 19 [0/5000 (0%)]	Loss: 0.790350
Task: 0 Train Epoch: 19 [1280/5000 (25%)]	Loss: 0.871929
Task: 0 Train Epoch: 19 [2560/5000 (50%)]	Loss: 0.634987
Task: 0 Train Epoch: 19 [3840/5000 (75%)]	Loss: 0.735022
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 705/1000(70%)

Task: 0 Train Epoch: 20 [0/5000 (0%)]	Loss: 0.717752
Task: 0 Train Epoch: 20 [1280/5000 (25%)]	Loss: 0.842766
Task: 0 Train Epoch: 20 [2560/5000 (50%)]	Loss: 0.832307
Task: 0 Train Epoch: 20 [3840/5000 (75%)]	Loss: 0.550423
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 730/1000(73%)

Task: 0 Train Epoch: 21 [0/5000 (0%)]	Loss: 0.636225
Task: 0 Train Epoch: 21 [1280/5000 (25%)]	Loss: 0.668491
Task: 0 Train Epoch: 21 [2560/5000 (50%)]	Loss: 0.623298
Task: 0 Train Epoch: 21 [3840/5000 (75%)]	Loss: 0.771003
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 745/1000(74%)

Task: 0 Train Epoch: 22 [0/5000 (0%)]	Loss: 0.552892
Task: 0 Train Epoch: 22 [1280/5000 (25%)]	Loss: 0.811037
Task: 0 Train Epoch: 22 [2560/5000 (50%)]	Loss: 0.627114
Task: 0 Train Epoch: 22 [3840/5000 (75%)]	Loss: 0.739108
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 749/1000(75%)

Task: 0 Train Epoch: 23 [0/5000 (0%)]	Loss: 0.556130
Task: 0 Train Epoch: 23 [1280/5000 (25%)]	Loss: 0.555557
Task: 0 Train Epoch: 23 [2560/5000 (50%)]	Loss: 0.594983
Task: 0 Train Epoch: 23 [3840/5000 (75%)]	Loss: 0.409851
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 732/1000(73%)

Task: 0 Train Epoch: 24 [0/5000 (0%)]	Loss: 0.712765
Task: 0 Train Epoch: 24 [1280/5000 (25%)]	Loss: 0.572641
Task: 0 Train Epoch: 24 [2560/5000 (50%)]	Loss: 0.631981
Task: 0 Train Epoch: 24 [3840/5000 (75%)]	Loss: 0.540446
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 727/1000(73%)

Task: 0 Train Epoch: 25 [0/5000 (0%)]	Loss: 0.676719
Task: 0 Train Epoch: 25 [1280/5000 (25%)]	Loss: 0.599480
Task: 0 Train Epoch: 25 [2560/5000 (50%)]	Loss: 0.552754
Task: 0 Train Epoch: 25 [3840/5000 (75%)]	Loss: 0.546251
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 756/1000(76%)

Task: 0 Train Epoch: 26 [0/5000 (0%)]	Loss: 0.515105
Task: 0 Train Epoch: 26 [1280/5000 (25%)]	Loss: 0.511563
Task: 0 Train Epoch: 26 [2560/5000 (50%)]	Loss: 0.735771
Task: 0 Train Epoch: 26 [3840/5000 (75%)]	Loss: 0.365744
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 750/1000(75%)

Task: 0 Train Epoch: 27 [0/5000 (0%)]	Loss: 0.442069
Task: 0 Train Epoch: 27 [1280/5000 (25%)]	Loss: 0.568946
Task: 0 Train Epoch: 27 [2560/5000 (50%)]	Loss: 0.504855
Task: 0 Train Epoch: 27 [3840/5000 (75%)]	Loss: 0.558736
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 758/1000(76%)

Task: 0 Train Epoch: 28 [0/5000 (0%)]	Loss: 0.456024
Task: 0 Train Epoch: 28 [1280/5000 (25%)]	Loss: 0.719614
Task: 0 Train Epoch: 28 [2560/5000 (50%)]	Loss: 0.497367
Task: 0 Train Epoch: 28 [3840/5000 (75%)]	Loss: 0.497835
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 748/1000(75%)

Task: 0 Train Epoch: 29 [0/5000 (0%)]	Loss: 0.611292
Task: 0 Train Epoch: 29 [1280/5000 (25%)]	Loss: 0.450914
Task: 0 Train Epoch: 29 [2560/5000 (50%)]	Loss: 0.535809
Task: 0 Train Epoch: 29 [3840/5000 (75%)]	Loss: 0.552641
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 743/1000(74%)

Task: 0 Train Epoch: 30 [0/5000 (0%)]	Loss: 0.519103
Task: 0 Train Epoch: 30 [1280/5000 (25%)]	Loss: 0.474219
Task: 0 Train Epoch: 30 [2560/5000 (50%)]	Loss: 0.473765
Task: 0 Train Epoch: 30 [3840/5000 (75%)]	Loss: 0.437429
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 747/1000(75%)

Task: 0 Train Epoch: 31 [0/5000 (0%)]	Loss: 0.501997
Task: 0 Train Epoch: 31 [1280/5000 (25%)]	Loss: 0.509594
Task: 0 Train Epoch: 31 [2560/5000 (50%)]	Loss: 0.379645
Task: 0 Train Epoch: 31 [3840/5000 (75%)]	Loss: 0.433720
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 761/1000(76%)

