Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.302298
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.126095
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.113459
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.781555
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 406/1000(41%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.999743
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.821333
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.850506
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.709352
Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 474/1000(47%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.810814
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.641365
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.594890
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.387793
Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 499/1000(50%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.610103
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.500483
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.340621
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.365061
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 579/1000(58%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.488305
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.356529
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.333062
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.142165
Task: 0   Test set: Avg. loss: 0.0014, Accuracy: 522/1000(52%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.192315
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.403385
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.283535
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.102686
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 583/1000(58%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.244563
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.351104
Task: 0 Train Epoch: 6 [2560/5000 (50%)]	Loss: 1.277653
Task: 0 Train Epoch: 6 [3840/5000 (75%)]	Loss: 1.205788
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 625/1000(63%)

Task: 0 Train Epoch: 7 [0/5000 (0%)]	Loss: 1.130384
Task: 0 Train Epoch: 7 [1280/5000 (25%)]	Loss: 1.261267
Task: 0 Train Epoch: 7 [2560/5000 (50%)]	Loss: 1.009377
Task: 0 Train Epoch: 7 [3840/5000 (75%)]	Loss: 0.971482
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 656/1000(66%)

Task: 0 Train Epoch: 8 [0/5000 (0%)]	Loss: 1.103428
Task: 0 Train Epoch: 8 [1280/5000 (25%)]	Loss: 1.076499
Task: 0 Train Epoch: 8 [2560/5000 (50%)]	Loss: 0.884050
