Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.303507
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.186865
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.071771
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.898022
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 394/1000(39%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.851305
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.756917
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.773794
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.647415
