Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.305141
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.152062
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 1.985056
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.889607

Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 366/1000(37%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 2.053268
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.843188
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.604202
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.766251

Task: 0   Test set: Avg. loss: 0.0016, Accuracy: 421/1000(42%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.627203
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.666996
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.552002
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.647918

Task: 0   Test set: Avg. loss: 0.0014, Accuracy: 503/1000(50%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.363307
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.633074
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.530715
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.311475

Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 551/1000(55%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.458031
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.088196
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.589130
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.250777

Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 591/1000(59%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.334739
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.266520
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.218197
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.226636

Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 601/1000(60%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.208120
