Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 16 [1280/5000 (25%)]	Loss: 0.710650
Task: 0 Train Epoch: 16 [2560/5000 (50%)]	Loss: 0.658065
Task: 0 Train Epoch: 16 [3840/5000 (75%)]	Loss: 0.674598
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 731/1000(73%)

Task: 0 Train Epoch: 17 [0/5000 (0%)]	Loss: 0.828486
Task: 0 Train Epoch: 17 [1280/5000 (25%)]	Loss: 0.954852
Task: 0 Train Epoch: 17 [2560/5000 (50%)]	Loss: 0.931086
Task: 0 Train Epoch: 17 [3840/5000 (75%)]	Loss: 0.715080
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 673/1000(67%)

Task: 0 Train Epoch: 18 [0/5000 (0%)]	Loss: 0.838080
Task: 0 Train Epoch: 18 [1280/5000 (25%)]	Loss: 0.782554
Task: 0 Train Epoch: 18 [2560/5000 (50%)]	Loss: 0.712576
Task: 0 Train Epoch: 18 [3840/5000 (75%)]	Loss: 0.853739
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 724/1000(72%)

Task: 0 Train Epoch: 19 [0/5000 (0%)]	Loss: 0.681562
Task: 0 Train Epoch: 19 [1280/5000 (25%)]	Loss: 0.773526
Task: 0 Train Epoch: 19 [2560/5000 (50%)]	Loss: 0.794168
Task: 0 Train Epoch: 19 [3840/5000 (75%)]	Loss: 0.883567
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 710/1000(71%)

Task: 0 Train Epoch: 20 [0/5000 (0%)]	Loss: 0.770478
Task: 0 Train Epoch: 20 [1280/5000 (25%)]	Loss: 0.643499
Task: 0 Train Epoch: 20 [2560/5000 (50%)]	Loss: 0.738849
Task: 0 Train Epoch: 20 [3840/5000 (75%)]	Loss: 0.797508
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 738/1000(74%)

Task: 0 Train Epoch: 21 [0/5000 (0%)]	Loss: 0.621435
Task: 0 Train Epoch: 21 [1280/5000 (25%)]	Loss: 0.700113
Task: 0 Train Epoch: 21 [2560/5000 (50%)]	Loss: 0.642361
Task: 0 Train Epoch: 21 [3840/5000 (75%)]	Loss: 0.585699
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 737/1000(74%)

Task: 0 Train Epoch: 22 [0/5000 (0%)]	Loss: 0.838735
Task: 0 Train Epoch: 22 [1280/5000 (25%)]	Loss: 0.731368
Task: 0 Train Epoch: 22 [2560/5000 (50%)]	Loss: 0.729229
Task: 0 Train Epoch: 22 [3840/5000 (75%)]	Loss: 0.725441
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 674/1000(67%)

Task: 0 Train Epoch: 23 [0/5000 (0%)]	Loss: 0.863633
Task: 0 Train Epoch: 23 [1280/5000 (25%)]	Loss: 0.663087
Task: 0 Train Epoch: 23 [2560/5000 (50%)]	Loss: 0.718447
Task: 0 Train Epoch: 23 [3840/5000 (75%)]	Loss: 0.832554
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 696/1000(70%)

Task: 0 Train Epoch: 24 [0/5000 (0%)]	Loss: 0.740496
Task: 0 Train Epoch: 24 [1280/5000 (25%)]	Loss: 0.819082
Task: 0 Train Epoch: 24 [2560/5000 (50%)]	Loss: 0.670626
Task: 0 Train Epoch: 24 [3840/5000 (75%)]	Loss: 0.742441
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 719/1000(72%)

Task: 0 Train Epoch: 25 [0/5000 (0%)]	Loss: 0.650208
Task: 0 Train Epoch: 25 [1280/5000 (25%)]	Loss: 0.715194
Task: 0 Train Epoch: 25 [2560/5000 (50%)]	Loss: 0.798511
Task: 0 Train Epoch: 25 [3840/5000 (75%)]	Loss: 0.687775
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 736/1000(74%)

Task: 0 Train Epoch: 26 [0/5000 (0%)]	Loss: 0.571986
Task: 0 Train Epoch: 26 [1280/5000 (25%)]	Loss: 0.540042
