Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 16 [1280/5000 (25%)]	Loss: 0.837516
Task: 0 Train Epoch: 16 [2560/5000 (50%)]	Loss: 0.701286
Task: 0 Train Epoch: 16 [3840/5000 (75%)]	Loss: 0.578174
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 725/1000(72%)

Task: 0 Train Epoch: 17 [0/5000 (0%)]	Loss: 0.762419
Task: 0 Train Epoch: 17 [1280/5000 (25%)]	Loss: 0.694781
Task: 0 Train Epoch: 17 [2560/5000 (50%)]	Loss: 0.837457
Task: 0 Train Epoch: 17 [3840/5000 (75%)]	Loss: 0.677483
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 723/1000(72%)

Task: 0 Train Epoch: 18 [0/5000 (0%)]	Loss: 0.515144
Task: 0 Train Epoch: 18 [1280/5000 (25%)]	Loss: 0.719761
Task: 0 Train Epoch: 18 [2560/5000 (50%)]	Loss: 0.528304
Task: 0 Train Epoch: 18 [3840/5000 (75%)]	Loss: 0.659806
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 644/1000(64%)

Task: 0 Train Epoch: 19 [0/5000 (0%)]	Loss: 0.910567
Task: 0 Train Epoch: 19 [1280/5000 (25%)]	Loss: 0.585369
Task: 0 Train Epoch: 19 [2560/5000 (50%)]	Loss: 0.539488
Task: 0 Train Epoch: 19 [3840/5000 (75%)]	Loss: 0.821368
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 764/1000(76%)

Task: 0 Train Epoch: 20 [0/5000 (0%)]	Loss: 0.533523
Task: 0 Train Epoch: 20 [1280/5000 (25%)]	Loss: 0.463001
Task: 0 Train Epoch: 20 [2560/5000 (50%)]	Loss: 0.493440
Task: 0 Train Epoch: 20 [3840/5000 (75%)]	Loss: 0.682171
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 746/1000(75%)

Task: 0 Train Epoch: 21 [0/5000 (0%)]	Loss: 0.477726
Task: 0 Train Epoch: 21 [1280/5000 (25%)]	Loss: 0.396885
Task: 0 Train Epoch: 21 [2560/5000 (50%)]	Loss: 0.571205
Task: 0 Train Epoch: 21 [3840/5000 (75%)]	Loss: 0.620951
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 735/1000(74%)

Task: 0 Train Epoch: 22 [0/5000 (0%)]	Loss: 0.654489
Task: 0 Train Epoch: 22 [1280/5000 (25%)]	Loss: 0.439794
Task: 0 Train Epoch: 22 [2560/5000 (50%)]	Loss: 0.502502
Task: 0 Train Epoch: 22 [3840/5000 (75%)]	Loss: 0.609650
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 762/1000(76%)

Task: 0 Train Epoch: 23 [0/5000 (0%)]	Loss: 0.527534
Task: 0 Train Epoch: 23 [1280/5000 (25%)]	Loss: 0.415458
Task: 0 Train Epoch: 23 [2560/5000 (50%)]	Loss: 0.520478
